Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
Kristian Kuoksa,3,0,0,1,1,39.00,0,0.00,0.00,33.33,33.33,"2,416",805,0,750
Joe The Ursino 2,2,0,1,1,1,14.50,0,0.00,50.00,50.00,50.00,300,150,0,462
Scott Zimmerman,2,0,0,2,2,5.50,0,0.00,0.00,100.00,100.00,500,250,0,535
Terry Thiele,2,0,0,2,2,5.50,0,0.00,0.00,100.00,100.00,"1,261",631,0,757
Stephen Bentley,2,0,0,1,1,18.50,0,0.00,0.00,50.00,50.00,200,100,0,501
1926,2,0,0,1,1,24.50,0,0.00,0.00,50.00,50.00,325,163,0,547
2032,2,0,0,1,1,69.00,0,0.00,0.00,50.00,50.00,114,57,0,671
Jerry Garrett,1,0,0,1,1,4.00,0,0.00,0.00,100.00,100.00,140,140,0,249
42,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,114,114,0,253
996,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,114,114,0,253
3011,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,200,200,0,292
3750,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,0,0,0,312
46072,1,0,0,1,1,10.00,0,0.00,0.00,100.00,100.00,389,389,0,272
Paige Pierce,37,17,28,36,36,2.81,0,45.95,75.68,97.30,97.30,"80,415","2,173","53,603","10,801"
Valarie Jenkins,49,16,39,48,49,2.86,0,32.65,79.59,97.96,100.00,"56,319","1,149","30,905","15,712"
Elaine King,39,7,16,34,39,5.46,0,17.95,41.03,87.18,100.00,"20,011",513,"6,591","15,648"
Des Reading,34,7,19,27,30,6.31,2,21.88,59.38,84.38,93.75,"23,600",738,"9,130","11,596"
Catrina Allen,33,7,19,32,33,3.42,0,21.21,57.58,96.97,100.00,"50,320","1,525","20,976","9,580"
Juliana Korver,20,6,12,17,17,5.85,0,30.00,60.00,85.00,85.00,"15,387",769,"6,752","8,196"
Carrie Berlogar,25,4,14,24,25,3.76,0,16.00,56.00,96.00,100.00,"18,463",739,"5,812","8,288"
Sarah Hokom,30,3,12,28,30,5.43,0,10.00,40.00,93.33,100.00,"28,535",951,"4,725","9,142"
Sarah Cunningham,20,2,5,16,19,8.10,0,10.00,25.00,80.00,95.00,"11,700",585,"2,635","6,667"
Birgitta Lagerholm,17,2,4,16,17,4.94,0,11.76,23.53,94.12,100.00,"7,215",424,"2,060","6,693"
Angela Tschiggfrie,15,2,5,12,15,5.53,0,13.33,33.33,80.00,100.00,"8,698",580,"3,700","5,528"
Lesli Todd,12,2,6,8,9,9.50,0,16.67,50.00,66.67,75.00,"3,978",332,"1,160","5,182"
Kristin Tattar,11,2,3,11,11,4.45,0,18.18,27.27,100.00,100.00,"25,815","2,347","13,500","3,039"
Vanessa Chambers,8,2,6,7,8,4.00,0,25.00,75.00,87.50,100.00,"1,750",219,"1,215","2,502"
